distance_m,lon,lat,elevation_m
9960.00,516462.003156,5407710.786572,220.00
9990.00,516483.216359,5407689.573368,220.00
10020.00,516504.429563,5407668.360165,220.00
10050.00,516525.642766,5407647.146962,219.00
10080.00,516546.855970,5407625.933758,219.00
10110.00,516568.069173,5407604.720555,218.00
10140.00,516589.282377,5407583.507351,218.00
10170.00,516610.495580,5407562.294148,218.00
10200.00,516631.708783,5407541.080944,216.00
10230.00,516652.921987,5407519.867741,215.00
10260.00,516674.135190,5407498.654537,215.00
10290.00,516674.628535,5407468.858888,216.00
10320.00,516674.628535,5407438.858888,221.00
10350.00,516663.423373,5407413.500218,221.00
10380.00,516642.210170,5407392.287014,220.00
10410.00,516620.996967,5407371.073811,218.00
10440.00,516599.783763,5407349.860607,219.00
10470.00,516578.570560,5407328.647404,219.00
10500.00,516557.357356,5407307.434200,219.00
10530.00,516552.202180,5407279.569544,219.00
10560.00,516552.202180,5407249.569544,220.00
10590.00,516552.202180,5407219.569544,220.00
10620.00,516541.759347,5407193.895107,219.00
10650.00,516527.716909,5407169.711676,219.00
10680.00,516516.646642,5407144.297131,218.00
10710.00,516503.231638,5407119.853807,218.00
10740.00,516503.231638,5407089.853807,217.00
10770.00,516503.231638,5407059.853807,219.00
10800.00,516501.048633,5407030.758037,220.00
10830.00,516479.835429,5407009.544834,220.00
10860.00,516458.622226,5406988.331630,216.00
10890.00,516437.409022,5406967.118427,218.00
10920.00,516416.195819,5406945.905224,220.00
10950.00,516394.982616,5406924.692020,220.00
10980.00,516373.769412,5406903.478817,221.00
11010.00,516352.556209,5406882.265613,221.00
11040.00,516331.343005,5406861.052410,218.00
11070.00,516310.129802,5406839.839206,217.00
11100.00,516288.916598,5406818.626003,215.00
11130.00,516267.703395,5406797.412800,215.00
11160.00,516246.490192,5406776.199596,215.00
11190.00,516225.276988,5406754.986393,219.00
11220.00,516204.063785,5406733.773189,220.00
11250.00,516182.850581,5406712.559986,219.00
11280.00,516161.637378,5406691.346782,219.00
11310.00,516140.424174,5406670.133579,218.00
11340.00,516119.210971,5406648.920376,217.00
11370.00,516097.997768,5406627.707172,217.00
11400.00,516076.784564,5406606.493969,217.00
11430.00,516055.571361,5406585.280765,218.00
11460.00,516034.358157,5406564.067562,221.00
11490.00,516013.144954,5406542.854358,221.00
11520.00,515991.931750,5406521.641155,220.00
11550.00,515970.718547,5406500.427951,218.00
11580.00,515949.505343,5406479.214748,218.00
11610.00,515940.070403,5406453.122828,218.00
11640.00,515924.392638,5406429.616771,218.00
11670.00,515915.585132,5406403.264960,217.00
11700.00,515899.279932,5406380.018795,217.00
11730.00,515878.066729,5406358.805591,217.00
11760.00,515856.853525,5406337.592388,217.00
11790.00,515835.640322,5406316.379184,219.00
11820.00,515814.427118,5406295.165981,221.00
11850.00,515793.213915,5406273.952777,220.00
11880.00,515772.000712,5406252.739574,218.00
11910.00,515750.787508,5406231.526371,219.00
11940.00,515744.188235,5406204.259879,220.00
11970.00,515744.188235,5406174.259879,221.00
12000.00,515744.188235,5406144.259879,220.00
